단어 명,물리 명,영문 명,금칙어,분류어 여부,정의내용
도예,POTRY,POTTERY ,,,생략
도우미,HLPR,HELPER,,,생략
도움,HELP,HELP,,,생략
도움말,HLP,HELP,,,생략
도유지,DOLND,DO LAND,,,생략
도입,INTRO,INTRODUCTION,,,생략
도입일자,INTRODT,INTRODUCTION DATE,도입일,,생략
도장,SEAL,SEAL,인장,,생략
도전,CHLAG,CHALLENGE,,,생략
도전선,EFW,ELECTRIC FIRING WIRE,,,생략
도주,ESCP,ESCAPE,,,생략
도착,ARRVL,ARRIVAL,,,생략
도착률,ARRVLRT,ARRIVAL RATE,,,생략
도착역,ARVLSTN,ARRIVAL STATION,종료역,,생략
도착일자,ARVLDT,ARRIVAL DATE,도착일,,생략
도착지,DSTN,DESTINATION,착지,,생략
도착지코드,AACD,ARRIVAL AREA CODE,,분류어,생략
도착항,PTARVL,PORT OF ARRIVAL,,,생략
도착항지역,OUTBND,OUT-BOUND,OUT-BOUND,,생략
도축,BUTCH,BUTCHERY,,,생략
도출,DDUC,DEDUCTION,,,생략
도태,PHSOUT,PHASEOUT,,,생략
도태계획,PHSOPLN,PHASEOUT PLANNING,,,생략
도태일자,PHSOUTDT,PHASEOUT DATE,도태일,,생략
도파민,DPMN,DOPAMINE,DOPAMINE,,생략
도폭,DTNG,DETONATING,,,생략
도폭선,DTNCRD,DETONATING CORD,,,생략
도표,CHART,CHART,,,생략
도표번호,CHTNO,CHART NUMBER,,분류어,생략
도피,EVS,EVASION,,,생략
도피탈출,EANDE,EVASION AND ESCAPE,,,생략
도하,RVRCRS,RIVER CROSSING,,,생략
도하지점,CRST,CROSSING SITE,,,생략
도하지점번호,CRSTNO,CROSSING SITE NUMBER,,분류어,생략
도해,EXPDGM,EXPLANATORY DIAGRAM,,,생략
도형,FGR,FIGURE,,,생략
도형종류코드,FGRKNCD,FIGURE KIND CODE,,분류어,생략
도화,SQUIB,SQUIB,,,생략
도화선,FRWR,FIRING WIRE,,,생략
독려,NCRGD,ENCOURAGED ,,,생략
독립,INDP,INDEPENDENCE,,,생략
독립공채,INDS,INDEPENDENCE BONDS,,,생략
독립부대,SPRUNT,SEPARATE UNIT,,,생략
독립운용,SPOPR,SEPARATE OPERATING,,,생략
독립채무,INDPNDNCDET,INDEPENDENCE DEBT,,,생략
독립채산제,SAS,SELF-SUPPORTING ACCOUNTING SYSTEM,,,생략
독서실,READRM,READING ROOM,,,생략
독촉,URGE,URGE,,,생략
독촉일자,URGEDT,URGE DATE,독촉일,,생략
독촉장,RMND,REMINDER,,,생략
독해,RDNG,READING,,,생략
돌격,ASLT,ASSAULT,,,생략
돌격상태코드,ASLTSTATECD,ASSAULT STATE CODE,,분류어,생략
돌봄,CARE,CARE,,,생략
돌풍,GUST,GUST,,,생략
돌핀,DOLPHN,DOLPHIN,,,생략
동,EAST,EAST,,,생략
동,DONG,DONG,,분류어,생략
동가,SMPRC,SAME PRICE,,,생략
동거,COHBT,COHABIT,,,생략
동거점,ESTPS,EAST POSITION,,,생략
동결,FRZN,FROZEN,,,생략
동결일자,FRZNDT,FROZEN DATE,동결일,,생략
동결코드,FR,FROZEN CODE,,분류어,생략
동경,ESTLN,EAST LONGITUDE,,분류어,생략
동계,WNTSN,WINTER SEASON,,,생략
동공,PUPIL,PUPIL,,,생략
동기,MOTV,MOTIVE,,,생략
동기,SNCNZ,SYNCHRONIZATION,,,생략
동기생,CLSMT,CLASSMATE,,,생략
동기식전송망,SNNRK,SYNCHRONOUS NETWORK,,,생략
동기화,SNCZT,SYNCHRONIZATION,,,생략
동남,EASTSUTH,EAST SOUTH,,,생략
동남아,SEASIA,SOUTH-EAST ASIA,,,생략
동남아국가연합,ASEAN,ASSOCIATION OF SOUTH-EAST ASIAN NATIONS,,,생략
동내의,WTRUDW,WINTER UNDERWEAR,,,생략
동년,SMYR,SAME YEAR,,,생략
동등,EQVLT,EQUIVALENT,,,생략
동력,PWR,POWER,,,생략
동력반,PWSCT,POWER SECTION,,,생략
동력선,PWRBOT,POWERBOAT,,,생략
동력수상레저기구,PALU,POWER AQUATIC LEISURE UTENSILS,,,생략
동력어선,PWRFSBT,POWER FISHERBOAT,,,생략
동력원,PWSRC,POWER SOURCE,,,생략
동료,CLG,COLLEAGUE,,,생략
동류전용,CNBL,CANNIBALIZATION,,,생략
동류전용일자,CNBLDT,CANNIBALIZATION DATE,동류전용일,,생략
동맹,ALLNC,ALLIANCE,,,생략
동맹군전쟁예비물자,WRSA,WAR RESERVE STOCKS FOR ALLIES,WRSA,,생략
동물성,ANMLT,ANIMALITY,,,생략
동물원,ZOO,ZOO,,,생략
동반,ACPN,ACCOMPANY,,,생략
동보통신,MLTADRCL,MULTI ADDRESS CALLING,,,생략
동봉,NCLSE,ENCLOSE,,,생략
동부,ESTPT,EASTERN PART,,,생략
동사,VERB,VERB,,,생략
동사무소,DONGOFC,OFFICE OF A DONG,,,생략
동산,MVAST,MOVABLE ASSETS,,,생략
동산물권,RROM,REAL RIGHTS OVER MOVABLES,,,생략
동산질,PLDGMOV,PLEDGE OF MOVABLES,,,생략
동상,STATU,STATUE ,,,생략
동석,STGR,SIT TOGHTER,,,생략
동수,UNTBD,UNIT FOR BUILDING,,분류어,생략
동승,RDTGTR,RIDING TOGETHER,,,생략
동승자,FLWPSG,FELLOW PASSENGER,,,생략
동시,SMTM,SAME TIME,,,생략
동시개설신용장,BBLC,BACK TO BACK LETTER OF CREDIT,,,생략
동시교전,SMTEG,SIMULTANEOUS ENGAGEMENTS,,,생략
동시동원,CMOB,CONCURRENT MOBILIZATION,,,생략
동시전송,SMTMTRNS,SAME TIME TRANSMISSION,,,생략
동시조달수리부속,CSP,CONCURRENT SPARE PARTS,CSP,,생략
동시조달수리부속산정모델,OASIS,OPTIMAL ALLOCATION OF SPARES FOR INITIAL SUPPORT,,,생략
동심,CNCTR,CONCENTRIC,,,생략
동심원,CNTCC,CONCENTRIC CIRCLE,,,생략
동업,SMTRD,SAME TRADE,,,생략
동영상,VDO,VIDEO,,,생략
동요,UNSTTLE,UNSETTLE,,,생략
동원,MOB,MOBILIZATION,,,생략
동원계획,MBPLN,MOBILIZATION PLAN,,,생략
동원단계,MBP,MOBILIZATION PHASE,,,생략
동원단계코드,MBPCD,MOBILIZATION PHASE CODE,,분류어,생략
동원대상코드,MOBOBJCD,MOBILIZATION OBJECT CODE,,분류어,생략
동원령,MBORD,MOBILIZATION ORDER,,,생략
동원미지정,MOBUND,MOBILIZATION NOT DESIGNATION,,,생략
동원방법코드,MOBMTDCD,MOBILIZATION METHOD CODE,,분류어,생략
동원범위코드,MOBSCD,MOBILIZATION SCOPE CODE,,분류어,생략
동원병,MOBCS,MOBILIZED COMMON SOLDIER,,,생략
동원부대유형코드,MOBUTCD,MOBILIZATION UNIT TYPE CODE,,분류어,생략
동원부문코드,MOBSCTNCD,MOBILIZATION SECTION CODE,,분류어,생략
동원소요,MBRQM,MOBILIZATION REQUIREMENT,,,생략
동원시기코드,MOBTMCD,MOBILIZATION TIME CODE,,분류어,생략
동원업체구분코드,MOBENTDVCD,MOBILIZATION ENTERPRISE DIVISION CODE,,분류어,생략
동원운영구분코드,MOBOPRDVCD,MOBILIZATION OPERATION DIVISION CODE,,분류어,생략
동원일,MOBDAY,MOBILIZATION DAY,,분류어,생략
동원일시구분코드,MBDDCD,MOBILIZATION DAY HOUR DIVISION CODE,,분류어,생략
동원일자관리일련번호,MSNO,MANAGEMENT SERIAL NUMBER,,분류어,생략
동원자원,MBRSRC,MOBILIZATION RESOURCES,,,생략
동원자원구분코드,MBRSRCDVSCD,MOBILIZATION RESOURCE DIVISION CODE,,분류어,생략
동원지정,APNTMB,APPOINTMENT FOR MOBILIZATION,,,생략
동원지정번호,AMOBNO,APPOINTMENT FOR MOBILIZATION NUMBER,,분류어,생략
동원편성,MBORG,MOBILIZATION ORGANIZATION,,,생략
동원품목일련번호,MOBITMSN,MOBILIZATION   ITEM SERIAL NUMBER,,분류어,생략
동원형태코드,MOBSHPCD,MOBILIZATION SHAPE CODE,,분류어,생략
동원회선종류코드,MCRCTKNDCD,MOBILIZATION CIRCUIT KIND CODE,,분류어,생략
동원훈련물자,MEM,MOBILIZATION EXERCISE MATERIEL,,,생략
동위원소,ISTP,ISOTOPE,,,생략
동의,AGR,AGREE,,,생략
동의부대,DONGUI,DONGUI UNIT,924의료지원단,,생략
동의서,WRTCST,WRITTEN CONSENT,,,생략
동의어,SYNONM,SYNONYM,,,생략
동의일자,AGRDT,AGREE DATE,동의일,,생략
동일,IDNT,IDENTITY,,,생략
동일검사,IINP,IDENTITY INSPECTION,,,생략
동작,MVMNT,MOVEMENT,,,생략
동적,DYNM,DYNAMIC,,,생략
동전,COIN,COIN,,,생략
동절기,WNTTM,WINTER TIME,,,생략
동종,SMKND,SAME KIND,,,생략
동체,FSLG,FUSELAGE,,,생략
동통,ACHE,ACHE,,,생략
동파,FRZBUR,FROZEN TO BURST,,,생략
동하절기,WSTM,WINTER OR SUMMER TERM,,,생략
동해,ETSA,EAST SEA,,,생략
동해활동,ESACT,EAST SEA ACTIVITY,,,생략
동행,GOTGTR,GOING TOGETHER,,,생략
동행인,TGRPN,TOGETHER PERSON,,,생략
동향,TRND,TREND,,,생략
동향,ETING,FACING EAST,,,생략
동호,SMTST,SAME TASTE,,,생략
동호수,NUMBDHS,NUMBER OF BUILDING AND HOUSE,,,생략
동호회,CLUB,CLUB,,,생략
두개내압,ICP,INTRACRANIAL PRESSURE,ICP,,생략
두께,THCKNS,THICKNESS,,분류어,생략
두바이,DUBAI,DUBAI,,,생략
두발,HAIR,HAIR ,,,생략
두절,JAMD,JAMMED ,,,생략
둘레,CIRC,CIRCUMFERENCE,,,생략
뒤,BACK,BACK,,,생략
뒷자리,LSTDGT,LAST DIGIT,뒤자리,,생략
드럼,DRUM,DRUM,,,생략
드레싱,DRSNG,DRESSING,,,생략
드레인,DRAIN,DRAIN,DRAIN,,생략
드레인일자,DRAINDT,DRAIN DATE,DRAIN일자,,생략
득실,GNSLSS,GAINS AND LOSSES,,,생략
득점,SCORE,SCORE,,,생략
득표,POLL,POLL,,,생략
듣기,LSTN,LISTENING,,,생략
들것,STCHR,STRETCHER,,,생략
등,LAMP,LAMP,램프,,생략
등고,ISMTRY,ISOMETRY,,,생략
등고선,CNTRLN,CONTOUR LINE,,,생략
등급,GRD,GRADE,"등위,CLASS",분류어,생략
등급구분코드,GRADEDVCD,GRADE DIVISION CODE,,분류어,생략
등기,REGST,REGISTRATION,,,생략
등기권리증,REGCERT,REGISTRATION CERTIFICATE,등기필증,,생략
등기번호,REGNO,REGISTRATION NUMBER,,분류어,생략
등기부,RGSTR,REGISTER,,,생략
등기부등본,CCR,CERTIFIED COPY OF THE REGISTER,,,생략
등기소,REGOFC,REGISTRY OFFICE,등기기관,,생략
등기소유자구분코드,RODCD,REGISTRATION OWNER DIVISION CODE,,분류어,생략
등기신청구분코드,RADCD,REGISTRATION APPLICATION DIVISION CODE,,분류어,생략
등기용지,RTL,REGISTRY FOLIO,,,생략
등기원인일자,REGCSDT,REGISTRATION CAUSE DATE,등기원인일,,생략
등기일자,REGDT,REGISTRATION DATE,등기일,,생략
등기촉탁서,EDR,ENTRUSTING DOCUMENT FOR REGISTRATION,,,생략
등기필,FNSREG,FINISHED REGISTRATION,,,생략
등기필일자,FNSREGDT,FINISHED REGISTRATION DATE,등기필일,,생략
등기필지,REGBKLOT,REGISTRATION BOOK LOT,,,생략
등길이,BACKLEN,BACK LEN,,,생략
등대,LIGHS,LIGHTHOUSE,,,생략
등락,FLCTS,FLUCTUATIONS,,,생략
등락율,FLCTSRT,FLUCTUATIONS RATE,,,생략
등록,RGST,REGISTRATION,,,생략
등록건수,RSCT,REGISTER COUNT,,,생략
등록관청,RGRFC,REGISTRATION GOVERNMENT OFFICE,,,생략
등록기준지,RODVRC,RECORD OF DIVORCE,,,생략
등록번호,RGSTNO,REGISTRATION NUMBER,,분류어,생략
등록사업자,RTRMN,REGISTRATION BUSINESSMAN,,,생략
등록세,RGSTAX,REGISTRATION TAX,,,생략
등록순서,SNO,SEQUENCE NUMBER,,,생략
등록업체,RTPR,REGISTRATION ENTERPRISE,,,생략
등록요청번호,RRNO,REGISTRATION REQUEST NUMBER,,분류어,생략
등록일자,RGSTDT,REGISTRATION DATE,등록일,,생략
등록자,REGSTR,REGISTRAR,,,생략
등록증,COR,CERTIFICATE OF REGISTRATION,,,생략
등록지,REGPLC,REGISTRATION PLACE,,,생략
등록포로,RGPOW,REGISTRATED PRISONER OF WAR,,,생략
등본,ATSTCP,ATTESTED COPY,,,생략
등산,MTNRNG,MOUNTAINEERING ,,,생략
등산로,PMNTN,PATH UP A MOUNTAIN,,,생략
등압면,ISBRSF,ISOBARIC SURFACE,,,생략
등유,KRSN,KEROSENE,,,생략
등재,RGSTRT,REGISTRATION,,,생략
등재일자,REGSTDT,REGISTRATION DATE,등재일,,생략
등판,CLMB,CLIMBING,,,생략
등판능력,GRDAB,GRADE ABILITY,,,생략
등화,LPLGT,LAMP LIGHT,,,생략
디렉터리,DIR,DIRECTORY,디렉토리,,생략
디바이스,DVC,DEVICE,,,생략
디스크,DISK,DISK,,,생략
디젤기관,DSLEGN,DIESEL ENGINE,"디젤,디젤엔진",,생략
디지타이저,DGTZER,DIGITIZER,,,생략
디지털,DGTL,DIGITAL,,,생략
디지털수치화,DGTZTN,DIGITIZATION,,,생략
디지털원패스,DOP,DIGITALONEPASS,,,생략
디지털저작권관리,DRM,DIGITAL RIGHTS MANAGEMENT,,,생략
디지털저작권보호권한,DRMR,DRM RIGHT,,,생략
디지털저작권보호정책,DRMP,DRM POLICY,,,생략
디지털전문처리체계,DMHS,DIGITAL MESSAGE HANDLING SYSTEM,,,생략
디지털카메라,DIGCAM,DIGITAL CAMERA,,,생략
디지털콘텐츠,DGTLCNTNTS,DIGITAL CONTENTS,,,생략
디지털화,DGTZ,DIGITIZE,,,생략
디코더,DCDR,DECODER,,,생략
디폴트,DFLT,DEFAULT,,,생략
디핑소나,DIPPINGSONAR,DIPPING SONAR,,,생략
땅굴,GRDTNL,GROUND TUNNEL,,,생략
땅굴관리사단구분코드,GRDTNLMNDVCD,GROUND TUNNEL MANAGEMENT DIVISION CODE,,분류어,생략
땅굴탐지축선번호,GTDANO,GROUND TUNNEL DETECT AXIS NUMBER,,분류어,생략
땅굴현황,GRTNSTS,GROUND TUNNEL PRESENT STATUS,,,생략
또는,OR,OR,,,생략
뚜껑,LID,LID,캡,,생략
뜀걸음,RUNWALK,RUN WALK,,,생략
라군,GRPRA,RA GROUP,,,생략
라급,CLSRA,RA CLASS,,,생략
라디오,RDIO,RADIO,,,생략
라디오버튼,RDBTN,RADIOBUTTON,,,생략
라면,RAMN,RAMYON,,,생략
라벨,LABEL,LABEL,레이블,,생략
라벨그룹번호,LABELGRPNO,LABELGROUP NUMBER,,분류어,생략
라벨출력,LPRT,LABEL PRINT,,,생략
라우터,ROUTER,ROUTER,,,생략
라우팅,ROUTNG,ROUTING,,,생략
라이닝,LING,LINING ,,,생략
라이브,LIVE,LIVE,,,생략
라이브캅,LIVECOP,LIVECOP,,,생략
란체스터,LNCHSTR,LANCHESTER,,,생략
래드,RAD,RADIATION ABSORBED DOSE,"RAD,라드",,생략
래스터,RST,RASTER,,,생략
래프팅,RAFTNG,RAFTING,,,생략
랙,RACK,RACK,,,생략
램프,RAMP,RAMP,RAMP,,생략
량,CRRGE,CARRIAGE,,,생략
량,QNTY,QUANTITY,,분류어,생략
러닝셔츠,UDSHRT,UNDERSHIRT,런링,,생략
러시아,RSSIA,RUSSIA,,,생략
런업,RNUP,RUN UP,,,생략
레귤레이터,REGLT,REGULATOR,,,생략
레이더,RADAR,RADIO DETECTION AND RANGE,"RADAR,레이다,전탐레이더",,생략
레이더경보수신기,RWR,RADAR WARNING RECEIVER,,,생략
레이더기능코드,RADARFCNCD,RADIO DETECTION AND RANGE FUNCTION CODE,,분류어,생략
레이더미사일운용계획,SHOTPLAN,SHOTPLAN,,,생략
레이더반사면적,RCS,RADAR CROSS SECTION,,,생략
레이더번호,RADARNO,RADIO DETECTION AND RANGE NUMBER,,분류어,생략
레이더부호,RADARSGN,RADIO DETECTION AND RANGE SIGN,,,생략
레이더영상,RDRIMG,RADAR IMAGERY,,,생략
레이더자료감시장비,RDU,RADAR DISPLAY UNIT,,,생략
레이더자료처리,RDP,RADAR DATA PROCESSING,,,생략
레이더접근관제장치,RAPCON,RADAR APPROACH CONTROL,,,생략
레이더종류코드,RADARKNDCD,RADAR KIND CODE,,분류어,생략
레이더통제장비,RCE,RADAR CONTROL EQUIPMENT,,,생략
레이더특성목록,RCL,RADAR CHARACTERISTIC LIST,RC,,생략
레이더포착범위도,RCM,RADAR COVERAGE MAP,,,생략
레이더포착범위도사용,RCMU,RADAR COVERAGE MAP UTILITY,레디어포착범위도처리,,생략
레이아웃,LYOT,LAYOUT,,,생략
레이어,LAYR,LAYER,,,생략
레이저,LASER,LIGHT AMPLIFICATION BY SIMULATED EMISSION OF RADIATION,,,생략
레인보우바,RBBAR,RAINBOWBAR,,,생략
레일,RAIL,RAIL,,,생략
레지던트,RSDET,RESIDENT,,,생략
레코드,RECORD,RECORD,자료항목,,생략
레코드건수,RCDCNT,RECORD COUNT,,,생략
레코드번호,RCDNO,RECORD NUMBER,,분류어,생략
레티놀,RTNL,RETINOL,,,생략
렌더러,RENDRR,RENDERER,,,생략
렌즈,LENS,LENS,,,생략
렌터카,RNTCAR,RENT CAR,,,생략
력,POWER,POWER,,,생략
령,OD,ORDINANCE,,,생략
로,ROUT,ROUTE,,,생략
로고,LOGO,LOGO,,,생략
로그,LOG,LOG,LOG,,생략
로그번호,LOGNO,LOG NUMBER,,분류어,생략
로그아웃,LOGOUT,LOGOUT,로그오프,,생략
로그인,LOGIN,LOGIN,"로그온,LOGIN,LOG IN,로깅",,생략
로그인사용자,LNUSR,LOGIN USER,,,생략
로더,LOADER,LOADER,,,생략
로드맵,LDMAP,LOAD MAP,,,생략
로드밸런스,LNC,LOAD BALANCE,,,생략
로딘,LDNE,LODINE,LODINE,,생략
로딩,LDNG,LOADING,,,생략
로로,RORO,RO-RO(ROLL-ON/ROLL-OFF),,,생략
로봇,ROBOT,ROBOT,,,생략
로열티,RYT,ROYALTY,,,생략
로컬,LCL,LOCAL,,,생략
로컬전술영역,LCTCS,LOCAL TACTICAL SQUARE,,,생략
로컬파일,LCFL,LOCAL FILE,,,생략
로켓,RKT,ROCKET,,,생략
로켓추진식탄두,RAP,ROCKET ASSISTED PROJECTILE,"로켓보조사거리연장탄,RAP",,생략
로크레마틱스,RHCHRM,RHOCHREMATICS,,,생략
로터,RTR,ROTOR,,,생략
로트,LOT,LOT,"롯트,LOT",,생략
로트번호,LOTNO,LOT NUMBER,,분류어,생략
로프,ROPE,ROPE,,,생략
롤링,RLLNG,ROLLING,,,생략
료,CHRG,CHARGE,,분류어,생략
루틴,ROUTN,ROUTINE,ROUTINE,,생략
루프,LOOP,LOOP,,,생략
루프백,LPBCK,LOOPBACK,,,생략
루프장치,LOOPDEVICE,LOOP DEVICE,,,생략
류,CLSF,CLASSIFICATION,,,생략
률,RT,RATE,,분류어,생략
리,LI,LI,,,생략
리더십,LDSHIP,LEADERSHIP,,,생략
리도카인,LDCN,LIDOCAINE,LIDOCAINE,,생략
리모델링,RMDING,REMODELING,,,생략
리모컨,RMCN,REMOCON(REMOTE CONTROL),,,생략
리본,RIBBON,RIBBON,,,생략
리스,LEASE,LEASE,,,생략
리스구분코드,LSDVCD,LEASE DIVISION CODE,,분류어,생략
리스료,LSFEE,LEASE FEE,,,생략
리콜,RECALL,RECALL,,,생략
리터,L,LITER,"LT,L,LI",,생략
리파지토리,RPSTR,REPOSITORY,,,생략
리프레시,REFRESH,REFRESH,,,생략
링,RING,RING,,,생략
링크,LINK,LINK,,,생략
마감,CLOSE,CLOSE,,,생략
마감일자,CLSDT,CLOSING DATE,마감일,,생략
마감전,BFRL,BEFORE CLOSING,,,생략
마감정보,CLIF,CLOSE INFORMATION,,,생략
마감후,AFTCS,AFTER CLOSING,,,생략
마개,STPR,STOPPER,,,생략
마군,GRPMA,MA GROUP,,,생략
마그네슘,MGN,MAGNESIUM,,,생략
마급,CLSMA,MA CLASS,,,생략
마대자루,GNSCK,GUNNY SACK,,,생략
마력,HP,HORSEPOWER,,분류어,생략
마련,PREPRT,PREPARATION,,,생략
마름모,TRPZ,TRAPEZOID,,,생략
마모,WEAR,WEAR,,,생략
마비,PRLYS,PARALYSIS,,,생략
마스크,MSK,MASK,,,생략
마스터,MASTER,MASTER,"마스타,MASTER,M/S",,생략
마스터번호,MASTERNO,MASTER NUMBER,,분류어,생략
마약,NCTC,NARCOTIC,,,생략
마우스,MOUSE,MOUSE ,,,생략
마이크,MCRPHN,MICROPHONE,,,생략
마이크로필름,MCRFLM,MICROFILM,,,생략
마일,MILE,MILE,MILE,,생략
마일리지,MLG,MILEAGE,,,생략
마일즈,MILES,MULTIPLE INTEGRATED LASER ENGAGEMENT SYSTEM,,,생략
마진,MARGIN,MARGIN,,,생략
마취,ANTHS,ANESTHESIA,,,생략
마취가산,ANAD,ANESTHESIA ADDITION,,,생략
마취기록지,ANERD,ANESTHESIA RECORD,,,생략
마취제,ANTHC,ANESTHETIC,,,생략
마취총,TRQGN,TRANQUILIZER GUN,,,생략
마취코드번호,ANTHSCODENO,ANESTHESIA  CODENO,,분류어,생략
마케팅,MARKT,MARKETING,,,생략
막차,LTCAR,LAST CAR,,,생략
만,FLL,FULL,,,생략
만기,EXPRTN,EXPIRATION,,,생략
만기금액,EPNT,EXPIRE AMOUNT,,,생략
만기상환,MATRDM,REDEMPTION AT MATURITY,,,생략
만기일자,EXPRDT,EXPIRATION DATE,만기일,,생략
만기전역,FTSD,FULL TIME SERVICE DISCHARGE,만기제대,,생략
만기후,AFTEXP,AFTER EXPIRATION,,,생략
만료,TMNT,TERMINATION,,,생략
만료일자,TMNTDT,TERMINATION DATE,만료일,,생략
만성,CHRNC,CHRONIC,,,생략
만수,BFLWTR,BEING FILLED WITH WATER,,,생략
만장일치,UANMTY,UNANIMITY,,,생략
만재,FLLD,FULL LOAD,,,생략
만재흘수선,FLDT,FULL LOAD DRAFT LINE,,,생략
만점,PFSCR,PERFECT SCORE,,,생략
만조,HTIDE,HIGH TIDE,고조,,생략
만족,STFC,SATISFACTION,,,생략
만족도,STFCLVL,SATISFACTION LEVEL,,,생략
만찬참석자,DINPRE,DINNER PRESENT,,,생략
말,CLSE,CLOSE,,,생략
말,WRD,WORD,,,생략
말라리아,MLRA,MALARIA,,,생략
말목,NDNEK,END NECK,,,생략
말소,ERSR,ERASURE,,,생략
말소등기,CCGST,CANCELLATION REGISTRATION,,,생략
말소일자,ERSRDT,ERASURE DATE,말소일,,생략
말일,LY,LAST DAY,,,생략
말초신경계,PNS,PERIPHERAL NERVOUS SYSTEM,,,생략
망,NETWK,NETWORK,,,생략
망각,OBLIVION,OBLIVION,,,생략
망간,MANG,MANGANESE ,,,생략
망라,ICEVT,INCLUDE EVERYTHING,,,생략
망정보서비스,NISRV,NETWORK INFORMATION SERVICE,NIS,,생략
망태,GBION,GABION,,,생략
망향의동산,NMHC,NATIONAL MANG-HYANG CEMETERY,,,생략
맞벌이,WRKTGTR,WORKING TOGETHER,,,생략
매각,SALE,SALE,,,생략
매각일자,SALEDT,SALE DATE,매각일,,생략
매개변수추정,PARAEST,PARAMETRIC ESTIMATION,,,생략
매년,EVEYR,EVERY YEAR,,,생략
매뉴얼,MANUAL,MANUAL,"메뉴얼,MANUAL",,생략
매니폴드,MNFD,MANIFOLD,"메니폴트,다기관",,생략
매도,SLNDLV,SALE AND DELIVERY,,,생략
매도금액,SLMT,SELL AMOUNT,,,생략
매도율,SLRT,SELLING RATE,,,생략
매도일자,SLDLDT,SALE AND DELIVERY DATE,매도일,,생략
매도증서,SALNT,SALES NOTES,,,생략
매매,TRDNG,TRADING,,,생략
매매기준율,TRDBSRT,TRADING BASIC RATE,매매기준률,,생략
매몰,BURY,BURYING,,,생략
매몰원가,SUNKCST,SUNK COST,,,생략
매몰형,BRYTP,BURYING TYPE,,,생략
매복,AMBS,AMBUSH,,,생략
매복작전,AMBOP,AMBUSH OPERATION,,,생략
매복조,AMBEL,AMBUSH ELEMENT,,,생략
매설지선,UDGRDWR,UNDERGROUND WIRING,,,생략
매수,NUMSHT,NUMBER OF SHEETS,,분류어,생략
매수결정통지서,NUMLVDC,NUMBER OF LEAVES FOR DECISION NOTICE,,,생략
매수자,BUYER,BUYER,,,생략
매수청구권,PRCHCLM,PURCHASE CLAIM,,,생략
매수합병,MNA,MERGE AND ACQUISITION,,,생략
매연,SMOKE,SMOKE,,,생략
매일,DAILY,DAILY,,,생략
매입,BUYNG,BUYING,,,생략
매입률,BUYRT,BUYING RATE,매입율,,생략
매입상환,PCSRDM,REDEMPTION BY PURCHASE,,,생략
매입세액,INPUTX,INPUT TAX,,,생략
매입신용장,NLC,NEGOTIATION LETTER OF CREDIT,,,생략
매입지정신용장,NRLC,NEGOTIATION RESTRICTED LETTER OF CREDIT,,,생략
매장,BRAL,BURIAL,,,생략
매질,MEDM,MEDIUM,,,생략
매체,MEDIA,MEDIA,미디어,,생략
매체형태,MDATP,MEDIA TYPE,,,생략
매출,SALES,SALES,,,생략
매출금액,SALAMT,SALE AMOUNT,,,생략
매출액,SALEAMT,SALES AMOUNT,"매출금,매출금액",,생략
매출원가,CSTSL,COST OF SALES,,,생략
매출총이익,GRSPF,GROSS PROFIT,,,생략
매취,PCHACQ,PURCHASE AND ACQUISITION,,,생략
매트릭스,MTRX,MATRIX,,,생략
매핑,MPNG,MAPPING,매칭,,생략
매회,ECHTM,EACH TIME,,,생략
맥박,PLSE,PULSE,,,생략
맨홀,MNHL,MANHOLE,,,생략
맹인,BLIND,BLIND,,,생략
맹지,LNDLCK,LANDLOCKED,,,생략
머리,HD,HEAD,,,생략
머리둘레,HDCRCM,HEAD CIRCUMFERENCE,,,생략
머리말,PRFC,PREFACE,,,생략
먼지,DUST,DUST,,,생략
멀티캐스트,MLTCST,MULTICAST,,,생략
메가폰,MGPON,MEGAPHONE,,,생략
메뉴,MENU,MENU,,,생략
메뉴권한,MNATH,MENU AUTHORITY,,,생략
메뉴번호,MENUNO,MENU NUMBER,,분류어,생략
메모,MEMO,MEMO,,,생략
메모리,MEMRY,MEMORY,,,생략
메소드,MTHD,METHOD,,,생략
메시지,MSG,MESSAGE,"메세지,MSG,MESSAGE",,생략
메시지번호,MSGNO,MESSAGE NUMBER,,분류어,생략
메시지우선순위코드,MPRICD,MESSAGE PRIORITY CODE,,분류어,생략
메인메뉴,MNMNU,MAIN MENU,,,생략
메인프레임,MANFRM,MAINFRAME,,,생략
메카니칼씰,MCSL,M/C SEAL,"메카니컬시일,메카니컬씰",,생략
메타,MTA,META,,,생략
메타데이터,META,META DATA,,,생략
메타세쿼이아,MTSEQ,METASEQUOIA,,,생략
메탄,CH4,METHANE,,,생략
면,SDE,SIDE,,,생략
면,MYEON,MYEON,,,생략
면담,ITVW,INTERVIEW,,,생략
면세,DUTY FREE,DUTY FREE,,,생략
면세기관,EPMTT,EXEMPTION FROM TAXATION INSTITUTION,,,생략
면세대상자,EPMPS,EXEMPTION FROM TAXATION PERSON,,,생략
면수,NOPG,NUMBER OF PAGES,,,생략
면역,IMUT,IMMUNITY,,,생략
면역처방,IMPRS,IMMUNITY PRESCRIPTION,,,생략
면장,FLLCS,FLIGHT LICENSE,,,생략
면적,AREA,AREA,,분류어,생략
면접,INTVW,INTERVIEW,,,생략
면접관,INTVWR,INTERVIEWER,,,생략
면접시험,ORLTST,ORAL TEST,,,생략
